Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9
-0.0392	0.262	0.0565	-0.188	0.131	0.147	0.136	0.0831	0.912
-0.208	-0.0403	-0.112	0.135	0.0816	-0.0629	0.211	0.121	0.929
0.0025	-0.2	0.172	0.0267	-0.173	-0.146	0.25	0.012	0.843
-0.0801	0.0291	-0.094	0.248	0.0774	-0.295	0.205	-0.142	0.918
-0.158	-0.311	0.0292	0.304	-0.111	0.163	0.118	0.264	0.858
0.0617	-0.00845	-0.227	-0.102	-0.144	-0.0296	0.247	0.288	0.922
0.283	-0.0353	0.162	0.0168	0.162	0.26	-0.208	0.0706	0.876
-0.196	0.0729	0.113	0.122	0.184	-0.217	-0.284	-0.237	0.99
0.0809	-0.189	-0.00375	0.195	-0.152	0.0578	-0.301	0.233	0.908
-0.237	0.00682	-0.139	-0.186	0.193	0.269	0.146	0.286	0.986
-0.0982	-0.313	-0.0465	-0.231	0.0834	-0.0756	0.00682	0.033	1.01
-0.0542	-0.00734	-0.269	0.0417	-0.154	0.0882	0.259	-0.0877	0.843
0.248	-0.256	-0.157	0.111	0.0864	0.00648	-0.09	-0.109	0.915
0.164	-0.209	-0.0458	-0.241	-0.153	0.171	-0.113	-0.0752	0.891
-0.247	0.187	0.294	0.258	-0.0583	0.0543	0.0911	0.217	0.821
-0.0232	-0.228	-0.289	-0.31	-0.178	0.0736	-0.243	0.0144	0.976
0.121	0.23	-0.302	-0.161	0.17	0.299	0.124	0.212	0.964
0.248	0.202	-0.0241	-0.196	-0.289	0.198	-0.104	0.271	0.829
-0.123	0.211	-0.305	-0.282	0.146	0.0812	-0.0563	-0.304	0.991
-0.241	0.278	-0.285	0.0227	-0.314	0.225	-0.0285	0.0422	0.841
0.137	0.275	-0.0277	-0.153	0.168	-0.0392	0.121	-0.181	0.934
-0.134	0.161	-0.0822	-0.314	0.168	-0.13	-0.0348	-0.268	0.992
-0.272	0.137	0.0634	-0.194	-0.12	0.146	0.16	-0.3	0.844
0.287	0.131	-0.0421	-0.135	-0.131	-0.00363	-0.0152	-0.28	0.834
0.175	-0.183	-0.0473	0.118	-0.105	0.0122	0.157	-0.278	0.829
-0.0432	-0.193	-0.0735	0.173	0.218	-0.00909	0.196	0.209	0.949
-0.29	-0.175	-0.182	-0.0152	-0.249	-0.0248	0.197	-0.0359	0.909
-0.196	0.164	0.186	0.0823	0.123	0.0728	0.0759	0.112	0.871
0.263	0.0379	0.0634	0.175	0.0277	0.0947	-0.221	-0.248	0.855
-0.131	0.117	0.0659	0.0298	-0.0301	0.141	-0.275	0.0818	0.928
-0.231	0.0949	-0.00892	-0.142	0.0313	-0.253	-0.147	0.224	0.978
-0.289	-0.248	0.232	0.105	0.012	-0.28	0.295	0.118	0.917
-0.00355	0.313	-0.311	-0.246	-0.206	-0.141	0.104	0.214	0.91
0.0464	-0.105	0.119	0.151	-0.263	0.145	-0.133	0.308	0.822
0.0809	-0.274	-0.183	0.0809	0.243	0.0606	-0.265	-0.212	1
0.211	0.198	-0.214	0.174	0.0101	0.0328	0.212	0.0115	0.868
-0.0372	0.259	0.1	0.189	-0.0543	-0.0895	-0.101	-0.0163	0.889
0.264	-0.202	-0.181	0.00184	0.0301	-0.129	-0.122	-0.22	0.959
0.0849	0.225	-0.243	0.22	-0.0693	-0.292	0.262	-0.0424	0.884
-0.238	-0.121	-0.194	-0.259	-0.0574	-0.0234	-0.132	0.31	1.01
-0.109	-0.251	0.0187	0.283	-0.0335	-0.195	0.253	0.059	0.893
0.229	0.0222	-0.0452	-0.273	0.15	-0.102	-0.0646	-0.234	0.959
0.237	-0.294	-0.0133	-0.109	-0.298	0.0342	0.235	-0.237	0.778
-0.0893	0.261	0.258	0.0498	0.04	0.0912	0.274	0.112	0.827
-0.143	-0.041	-0.0692	0.0872	0.232	-0.159	0.0319	-0.104	0.99
-0.0396	0.154	-0.0162	0.0682	-0.282	0.0232	-0.0652	-0.00879	0.844
-0.103	-0.179	-0.0465	-0.226	-0.295	0.0985	-0.0375	-0.041	0.896
-0.0000694	0.0806	-0.24	0.0258	-0.276	0.299	0.259	-0.0031	0.737
0.0909	0.0994	0.191	-0.242	0.0164	-0.16	0.0548	0.0499	0.917
-0.177	0.13	0.0779	-0.043	0.0141	-0.00449	0.205	-0.0225	0.901
-0.264	-0.0414	-0.0292	0.303	0.242	-0.000891	-0.129	0.0904	0.976
0.0811	-0.121	-0.154	0.172	0.00442	0.0997	0.169	-0.135	0.886
-0.0219	0.0936	0.139	0.25	0.138	-0.198	-0.206	-0.107	0.911
0.091	-0.303	0.117	-0.0235	0.119	-0.198	-0.248	0.194	0.953
0.0797	-0.143	-0.054	0.176	-0.0546	-0.0249	-0.227	0.00941	0.912
0.107	0.0567	0.267	0.132	-0.291	-0.172	0.0897	-0.237	0.747
0.21	-0.29	-0.106	-0.222	-0.269	0.132	0.253	0.234	0.864
0.106	0.0987	-0.185	-0.124	-0.134	-0.0424	-0.131	0.217	0.937
-0.195	-0.0638	-0.233	-0.0722	0.0305	0.228	0.184	-0.213	0.918
0.26	0.286	-0.00129	-0.139	-0.0778	-0.118	-0.167	-0.0204	0.897
0.17	-0.152	-0.31	-0.0646	0.0793	-0.0561	-0.0484	-0.0333	1.01
-0.0925	-0.0458	-0.0209	0.0875	0.212	-0.148	-0.228	0.263	1.01
0.259	-0.268	0.194	0.255	-0.121	-0.1	-0.153	0.0594	0.844
-0.291	-0.264	0.238	-0.192	-0.301	-0.213	-0.281	-0.181	0.913
-0.212	-0.0733	0.201	0.1	-0.00915	-0.121	0.0804	0.127	0.911
0.0451	-0.101	0.279	-0.193	0.188	0.207	0.241	-0.258	0.837
0.112	0.255	-0.0455	0.289	-0.0438	0.209	0.109	0.222	0.787
-0.0549	-0.112	0.257	0.182	-0.161	0.00453	0.0653	-0.0687	0.785
-0.0103	0.304	0.206	0.0276	-0.191	0.0556	-0.0623	0.133	0.837
0.00264	-0.182	0.17	-0.261	-0.203	0.0286	-0.258	-0.138	0.898
0.309	-0.213	0.0855	-0.0277	0.197	-0.234	-0.28	-0.157	0.947
0.119	0.123	0.026	0.2	0.105	0.278	0.125	-0.0087	0.792
-0.251	0.3	-0.102	0.102	0.0126	-0.119	-0.231	0.209	0.976
-0.297	-0.0828	-0.0262	-0.283	0.167	0.0302	0.277	-0.0583	0.996
-0.0949	0.125	-0.174	-0.0965	-0.229	0.0913	0.302	0.292	0.852
-0.127	-0.221	0.121	0.277	-0.297	0.214	-0.024	0.191	0.816
-0.0625	0.0509	-0.208	0.245	0.265	-0.0813	0.303	0.283	0.992
0.068	0.0754	-0.119	0.0338	-0.0362	0.143	0.309	0.0517	0.835
-0.126	-0.26	0.0279	0.128	0.303	0.237	-0.192	-0.138	0.955
0.134	-0.271	-0.0374	0.0992	0.0955	-0.244	-0.0809	-0.193	0.965
-0.299	-0.047	-0.298	-0.0129	-0.0898	-0.155	-0.225	-0.187	1
0.0541	-0.201	0.0179	-0.175	0.203	0.19	0.18	-0.192	0.901
0.186	-0.149	0.191	0.287	0.192	-0.0926	-0.113	-0.134	0.853
-0.0261	-0.159	0.31	-0.23	-0.151	0.276	0.172	-0.0262	0.77
0.0109	0.222	0.0786	-0.293	-0.226	0.19	-0.13	-0.041	0.847
-0.183	-0.0798	-0.224	-0.0877	0.117	0.156	0.271	0.264	0.977
0.109	-0.164	0.288	-0.192	-0.0657	0.123	-0.228	-0.284	0.843
-0.00164	0.0522	-0.159	-0.0502	0.0689	0.0884	0.0745	-0.154	0.936
0.0536	-0.255	-0.00594	0.209	-0.0361	-0.0487	-0.272	-0.0434	0.934
-0.238	-0.314	0.0925	0.0232	0.0479	0.143	-0.124	0.00344	0.974
0.306	-0.163	0.119	0.217	0.236	0.175	-0.203	0.0816	0.886
0.215	-0.254	-0.159	0.104	0.209	-0.132	-0.166	-0.00127	0.983
0.209	0.248	0.213	-0.214	-0.0713	-0.0645	-0.305	-0.0311	0.872
0.076	-0.168	-0.116	0.0394	-0.311	0.306	-0.162	-0.0812	0.829
0.308	0.05	0.243	-0.258	0.0866	-0.14	-0.048	0.151	0.887
-0.144	0.133	0.279	-0.142	0.282	0.0975	-0.197	0.236	0.955
0.00731	0.254	0.16	0.119	0.193	-0.198	-0.291	-0.0613	0.948
-0.295	-0.0694	-0.181	-0.189	0.0793	-0.214	-0.174	-0.0274	1.05
0.0824	-0.105	0.251	0.253	0.0542	0.0496	-0.206	0.114	0.862
0.0921	0.128	0.0975	0.0232	0.0627	-0.177	0.0458	0.0422	0.895
-0.118	0.231	0.241	-0.0917	0.199	0.0508	-0.0954	0.284	0.943
0.139	0.138	0.0393	-0.00423	-0.296	0.151	0.0381	-0.00564	0.776
0.203	-0.191	0.217	-0.111	0.231	0.165	0.0934	0.0731	0.889
0.243	0.271	-0.0219	0.00331	0.00411	-0.313	0.1	-0.0225	0.911
-0.0424	0.0556	0.293	0.274	-0.0342	0.254	0.0868	-0.126	0.713
-0.283	-0.0861	-0.149	0.165	-0.288	0.00412	-0.138	0.209	0.911
0.0515	0.14	0.0111	0.293	0.303	0.124	-0.145	-0.213	0.903
-0.219	0.249	0.232	-0.231	-0.117	0.137	-0.15	-0.0312	0.876
-0.069	-0.0111	-0.114	0.228	0.0397	-0.2	-0.147	0.0376	0.977
-0.28	0.286	-0.289	0.0652	0.175	0.313	-0.0809	0.0663	0.989
0.0536	-0.279	0.156	-0.0255	-0.12	0.292	-0.0958	0.0794	0.882
-0.182	-0.0239	0.292	0.0392	-0.281	0.238	-0.22	0.141	0.827
0.0718	-0.267	0.0444	-0.26	0.29	0.125	-0.148	-0.287	0.997
0.0842	0.0122	-0.286	-0.295	0.0000259	-0.191	0.297	-0.0804	0.963
-0.0527	0.196	0.135	0.205	-0.193	0.303	0.182	-0.28	0.628
0.255	-0.0822	-0.0638	-0.00783	0.2	-0.31	-0.0999	-0.0115	0.969
-0.0121	-0.179	0.0884	0.313	-0.0815	-0.303	-0.282	-0.23	0.915
0.051	0.194	0.0566	0.265	-0.0975	-0.304	0.14	0.208	0.884
0.0795	-0.144	-0.116	-0.0894	0.131	-0.161	-0.109	-0.271	0.985
0.286	0.184	0.0322	-0.187	0.271	0.169	-0.176	-0.249	0.928
0.0798	0.232	0.0581	0.252	0.197	-0.0674	0.181	-0.155	0.846
-0.0665	0.0731	-0.307	0.256	-0.0862	0.147	0.133	0.078	0.853
0.218	0.151	0.148	-0.178	-0.276	0.266	-0.302	-0.237	0.799
0.129	0.234	-0.166	0.163	-0.187	0.216	0.267	0.202	0.769
-0.149	0.205	-0.205	0.0123	0.161	-0.246	0.0582	-0.0861	1.01
-0.241	-0.0205	0.179	-0.135	0.212	-0.285	-0.197	-0.0841	0.998
-0.12	-0.0372	0.154	0.0849	-0.179	-0.254	0.157	-0.109	0.853
-0.191	0.0277	-0.17	-0.124	-0.21	-0.185	-0.0899	0.0746	0.959
0.0281	0.168	0.275	-0.136	-0.231	0.0856	0.0386	0.0282	0.82
0.281	0.147	-0.0258	0.0624	0.199	0.212	0.151	0.174	0.88
0.258	0.239	-0.0794	0.101	-0.214	0.13	-0.0721	0.278	0.82
0.082	-0.302	-0.216	-0.257	0.117	0.0141	-0.00622	-0.173	1.01
-0.145	-0.0595	0.221	-0.0298	-0.246	0.0925	-0.166	0.197	0.874
-0.156	0.0802	-0.26	-0.127	0.0852	0.234	0.237	0.0628	0.943
-0.00958	-0.231	0.104	-0.211	-0.08	0.0982	0.124	0.0774	0.886
-0.192	0.0556	0.0259	-0.166	0.0714	0.00684	0.163	0.256	0.957
0.00938	-0.24	0.215	-0.0447	0.303	-0.0837	0.223	0.177	0.919
0.00962	0.255	-0.293	0.152	0.0433	0.161	0.303	0.148	0.82
0.276	-0.163	-0.0895	-0.0602	-0.0964	-0.113	-0.131	-0.0532	0.911
0.314	0.195	0.124	-0.0114	0.0523	-0.0263	0.282	0.0912	0.838
-0.314	0.098	-0.182	-0.21	-0.219	0.256	0.0707	-0.217	0.872
0.0583	-0.267	0.0747	-0.187	-0.314	0.0988	0.00406	0.0978	0.851
0.257	0.155	0.211	0.147	-0.109	-0.178	-0.172	0.213	0.865
-0.293	0.0684	0.227	-0.0512	-0.0619	-0.261	-0.163	-0.0553	0.952
-0.101	-0.0975	0.286	0.128	0.0655	-0.19	0.0833	-0.0398	0.882
-0.0574	-0.175	0.313	-0.175	-0.165	-0.12	-0.169	-0.0691	0.891
0.177	-0.0556	0.173	-0.283	0.0294	-0.0564	-0.242	-0.278	0.904
0.163	0.231	-0.164	0.0516	-0.0197	-0.149	0.247	-0.192	0.882
-0.00741	0.127	-0.133	0.0335	-0.12	0.0838	0.0722	-0.306	0.809
-0.162	0.129	0.184	0.0751	0.187	-0.0929	0.061	-0.151	0.901
-0.265	0.146	-0.296	-0.122	-0.0172	-0.108	-0.136	0.116	1.03
0.141	0.143	-0.0842	0.303	0.0732	0.00227	0.309	-0.293	0.742
0.138	-0.227	-0.172	0.165	0.27	-0.147	-0.304	0.193	1.01
0.186	-0.0118	0.0682	-0.191	-0.289	-0.2	-0.101	0.218	0.866
0.0626	0.107	-0.203	-0.148	-0.247	-0.308	-0.246	0.052	0.934
0.184	-0.262	-0.0433	-0.0831	-0.0403	0.185	0.217	-0.0459	0.829
0.0552	0.0407	0.228	-0.177	-0.195	-0.0751	0.169	-0.242	0.806
0.0328	-0.112	0.0654	-0.238	0.202	0.0356	-0.266	0.26	0.962
-0.216	0.216	0.269	-0.27	-0.252	-0.212	0.172	-0.00957	0.861
0.0743	0.0843	0.166	0.0863	-0.176	0.0165	0.0733	0.0105	0.789
-0.232	-0.24	0.0434	-0.252	-0.223	0.156	-0.0986	-0.0143	0.926
0.137	0.215	0.264	-0.237	-0.228	-0.256	0.103	-0.196	0.816
-0.289	0.128	-0.05	0.306	-0.22	0.13	0.11	0.282	0.826
0.00658	-0.0909	0.273	0.17	-0.303	0.309	0.291	-0.0554	0.621
0.0572	-0.102	0.303	-0.295	0.277	-0.0801	0.283	-0.0236	0.913
0.146	-0.167	0.159	0.199	-0.118	-0.289	-0.0283	0.119	0.897
-0.181	-0.249	0.03	-0.24	0.206	0.143	0.136	-0.252	0.971
0.301	-0.218	0.191	0.171	0.0277	0.134	0.013	-0.309	0.781
0.236	-0.0868	-0.26	0.169	-0.251	0.0512	0.0447	0.24	0.833
0.17	0.122	-0.116	0.0934	0.0876	0.198	0.146	0.0274	0.852
0.261	0.0284	-0.0839	0.00379	-0.176	0.108	0.0133	-0.202	0.811
0.217	-0.163	0.263	0.178	-0.0232	-0.313	0.0871	-0.289	0.82
-0.176	-0.28	-0.285	0.294	0.0897	-0.167	-0.293	0.16	1.06
0.014	0.277	-0.116	0.0255	0.0788	-0.098	0.1	0.127	0.929
-0.292	-0.241	-0.0595	0.201	0.0539	-0.0831	-0.109	-0.228	0.962
0.229	-0.119	0.165	-0.294	-0.0219	0.00668	-0.00644	-0.273	0.87
0.255	-0.303	-0.215	-0.0885	-0.0824	-0.115	-0.221	0.227	0.963
-0.166	0.153	-0.00423	-0.0783	-0.246	0.231	0.0666	-0.0811	0.822
-0.0395	0.184	-0.15	0.0375	-0.31	0.311	0.276	-0.126	0.735
0.185	-0.263	-0.0721	0.087	0.168	0.00721	-0.143	0.291	0.963
0.0917	0.129	0.0677	0.244	0.123	-0.109	0.294	0.0398	0.814
-0.0583	0.252	-0.24	0.238	0.0856	0.171	0.0593	0.0773	0.893
-0.0256	-0.0113	0.232	-0.222	-0.0997	-0.113	-0.187	-0.0954	0.907
0.016	-0.0741	0.158	-0.236	-0.127	0.148	-0.018	-0.216	0.862
-0.226	-0.0518	0.137	-0.296	0.2	0.00113	-0.117	-0.305	0.987
0.251	0.0363	0.0583	0.239	0.248	0.209	-0.0598	-0.0656	0.873
-0.105	-0.163	-0.305	-0.149	-0.000803	-0.00697	-0.226	0.0244	1.01
0.161	0.202	0.283	-0.127	-0.31	-0.226	-0.127	-0.0402	0.805
-0.221	0.106	-0.255	-0.0857	0.31	0.0714	0.0488	0.0251	1.03
0.164	-0.238	-0.244	-0.0551	-0.198	-0.02	0.183	-0.176	0.884
-0.142	-0.125	-0.214	0.0626	0.0143	-0.0619	-0.265	-0.00939	1.01
0.166	-0.00014	0.0223	-0.181	0.161	0.155	0.27	-0.154	0.876
-0.198	0.165	0.2	-0.245	-0.169	0.106	-0.269	-0.143	0.886
0.297	0.273	-0.178	-0.0674	-0.186	-0.125	-0.314	-0.228	0.888
-0.141	0.299	0.13	0.249	-0.216	0.191	-0.0438	-0.2	0.732
0.252	0.188	0.301	0.0255	-0.224	-0.299	0.237	0.0988	0.791
0.0252	0.213	0.0607	0.178	0.0486	0.254	-0.267	-0.275	0.844
0.305	-0.169	-0.119	0.122	0.0000056	0.174	-0.282	-0.132	0.909
-0.217	-0.257	0.283	-0.158	0.0941	-0.304	0.0827	0.247	0.952
-0.147	-0.0372	0.223	-0.266	0.0588	-0.174	0.249	-0.235	0.916
0.126	0.165	-0.0701	0.305	-0.0437	0.169	-0.262	-0.295	0.825
-0.215	-0.171	0.0145	0.195	-0.208	-0.183	-0.275	0.111	0.942
0.209	-0.221	-0.27	0.188	-0.296	-0.312	-0.207	-0.0393	0.916
-0.146	0.205	0.0871	0.29	0.0912	-0.281	-0.304	-0.0599	0.944
-0.202	0.243	0.243	0.225	0.062	-0.288	0.236	-0.26	0.852
-0.243	-0.273	0.303	-0.26	0.218	0.158	-0.0801	0.228	0.983
-0.158	0.169	-0.177	-0.0816	0.0696	0.218	-0.211	0.15	1
0.262	-0.198	0.0137	0.0897	0.184	-0.0287	0.049	-0.0893	0.91
-0.153	0.22	0.107	-0.103	0.0453	0.26	0.145	0.302	0.914
-0.116	0.176	0.023	0.252	0.281	0.108	0.137	-0.198	0.881
0.237	-0.0464	0.236	0.234	0.0535	-0.0868	0.119	-0.0325	0.806
0.0486	0.0498	0.157	-0.179	0.208	0.00388	0.042	-0.0941	0.912
-0.0668	0.0942	-0.0819	-0.285	0.278	-0.11	-0.0135	-0.00939	1.03
0.145	-0.305	-0.129	-0.118	0.198	-0.0356	0.0742	-0.0624	1
0.149	-0.158	-0.296	0.282	0.0931	-0.04	0.154	0.233	0.949
0.0409	-0.238	0.157	0.203	0.233	0.286	-0.136	0.202	0.87
-0.152	0.000424	-0.0341	0.287	0.262	0.054	0.19	0.271	0.935
-0.0647	0.212	0.103	-0.245	0.0593	0.303	-0.193	0.0742	0.929
0.00774	-0.134	-0.293	-0.0307	0.0897	0.113	-0.201	-0.0977	1
0.0879	0.154	-0.191	0.0822	0.147	-0.3	0.0996	0.248	0.988
0.23	-0.207	-0.0716	-0.165	0.0467	-0.127	0.228	-0.0818	0.945
-0.13	0.259	0.177	-0.125	-0.119	0.0772	0.054	0.104	0.876
0.13	0.0211	0.0141	0.182	0.0602	0.176	0.166	-0.0911	0.82
0.259	0.149	0.00709	-0.0168	0.164	0.218	-0.158	0.29	0.93
-0.0956	-0.176	-0.212	0.212	-0.295	-0.256	0.0704	-0.278	0.879
0.0256	-0.286	0.0275	-0.0371	-0.127	0.149	-0.236	0.00846	0.907
0.0637	-0.292	-0.035	-0.274	0.115	-0.197	-0.135	0.16	0.987
0.0521	-0.287	-0.187	0.213	0.152	0.162	0.279	-0.118	0.872
-0.0119	0.278	0.208	0.161	-0.172	-0.242	-0.243	-0.0505	0.876
-0.0327	-0.0487	0.185	-0.157	-0.227	-0.0365	-0.282	0.153	0.886
-0.314	0.0759	-0.161	-0.105	-0.145	-0.16	0.0941	0.159	0.961
-0.168	0.0914	-0.293	0.256	-0.228	-0.0512	0.0105	0.224	0.883
0.0704	0.0807	0.304	0.309	-0.199	0.183	0.00971	0.185	0.745
0.205	0.0827	0.245	0.00851	-0.282	0.182	-0.113	-0.114	0.741
-0.205	0.157	0.187	-0.26	-0.0525	0.0787	-0.198	0.0957	0.928
0.272	0.22	0.0484	0.146	0.216	-0.118	0.0287	-0.233	0.896
0.221	0.12	-0.209	0.157	-0.0476	-0.0677	0.0785	0.128	0.908
0.313	-0.249	-0.0289	-0.236	-0.0874	-0.172	-0.291	0.21	0.917
0.181	0.245	-0.138	0.109	0.119	-0.0655	-0.291	0.222	0.967
-0.0922	0.223	-0.125	0.0368	-0.0305	-0.139	0.198	-0.217	0.88
-0.0248	-0.0617	0.289	0.285	0.157	0.226	-0.0109	0.273	0.83
0.178	0.128	0.0296	0.26	0.231	-0.286	-0.172	-0.252	0.917
0.0692	-0.265	-0.0925	0.105	0.217	-0.0477	0.124	0.192	0.986
-0.04	0.156	-0.203	0.287	0.29	0.162	0.119	0.199	0.928
-0.121	0.257	-0.237	-0.187	0.125	0.139	-0.0159	-0.21	0.969
0.176	-0.216	-0.283	-0.256	0.246	0.0179	0.289	0.0212	1.01
-0.268	0.309	0.275	-0.242	0.0774	0.0068	0.0657	0.00307	0.928
0.0941	0.154	-0.153	-0.289	0.278	-0.0793	-0.312	0.0495	1.02
0.0184	-0.212	0.217	-0.015	0.247	0.0687	0.044	0.225	0.931
0.153	0.143	-0.0263	-0.0699	0.288	0.137	0.168	-0.0188	0.903
0.177	-0.0111	-0.196	-0.183	0.21	-0.198	-0.011	-0.225	0.996
0.239	-0.0236	-0.0363	-0.255	0.113	0.308	-0.00724	-0.0892	0.906
-0.0389	0.31	-0.139	0.293	0.056	-0.278	0.177	0.2	0.927
-0.097	0.0484	0.0866	0.185	0.0192	-0.288	-0.166	0.0341	0.946
0.077	-0.27	0.28	0.22	0.0914	0.282	-0.17	0.253	0.852
0.236	-0.216	-0.113	-0.23	-0.136	-0.128	0.148	0.141	0.92
0.00298	0.214	0.0413	0.0936	-0.0469	-0.126	-0.0875	-0.109	0.888
-0.242	-0.291	-0.0363	-0.0708	0.26	0.0438	-0.308	0.245	1.05
-0.0995	0.0761	0.01	0.202	-0.172	-0.274	0.248	-0.198	0.835
-0.145	-0.19	-0.256	-0.128	-0.104	0.13	-0.27	-0.161	0.982
-0.216	0.15	0.209	0.213	-0.229	-0.022	-0.0697	0.0902	0.832
-0.0755	-0.116	0.0595	-0.0153	-0.0584	-0.265	0.244	-0.135	0.911
0.171	-0.292	-0.255	-0.0568	-0.136	0.112	-0.191	-0.0915	0.93
0.117	0.28	0.025	-0.0531	0.278	0.259	0.302	-0.217	0.807
0.0877	0.237	-0.207	-0.282	-0.0393	0.0465	0.0577	0.266	0.93
0.0338	0.014	-0.182	-0.0106	0.28	-0.23	0.203	-0.00479	1.01
0.126	0.0892	0.258	-0.226	0.0157	-0.28	-0.248	-0.11	0.895
-0.0224	0.142	-0.0651	0.2	-0.116	-0.142	-0.0309	-0.21	0.859
-0.0588	-0.0153	0.00691	0.00387	-0.134	-0.19	0.174	-0.193	0.834
0.156	-0.0228	-0.179	-0.283	-0.11	-0.0583	0.13	0.174	0.919
-0.035	0.198	-0.143	0.309	0.198	-0.00528	-0.0412	-0.00866	0.934
-0.205	-0.15	-0.0158	-0.0472	-0.211	-0.11	-0.0438	0.214	0.941
0.29	0.264	0.0985	0.0617	0.138	0.223	-0.311	-0.163	0.872
0.238	-0.0433	0.0644	0.209	-0.24	0.224	0.0438	0.1	0.754
-0.104	0.283	0.296	0.133	-0.22	0.0152	0.031	-0.134	0.748
-0.14	-0.0652	0.0269	-0.0698	0.178	0.228	-0.00557	0.203	0.932
0.0952	-0.132	-0.248	-0.0731	0.0303	0.062	-0.0661	-0.212	0.951
0.143	-0.181	-0.203	0.0153	0.258	0.067	0.0863	-0.156	0.943
-0.134	-0.054	0.0755	-0.214	0.201	0.155	-0.267	0.21	1
0.0734	-0.274	0.0725	0.292	0.271	-0.145	-0.111	-0.0602	0.938
0.243	0.265	0.0993	-0.221	-0.149	-0.0804	-0.114	0.134	0.857
0.00198	-0.0893	0.217	-0.246	0.279	0.221	0.0702	0.119	0.92
-0.0868	-0.224	0.211	0.13	0.182	0.0323	-0.209	0.302	0.945
0.139	0.0564	-0.143	0.27	-0.211	-0.0377	0.0247	-0.00534	0.826
0.0604	0.0841	0.19	0.0176	-0.054	0.061	0.0998	0.0586	0.855
-0.0569	-0.241	-0.298	0.289	0.267	-0.0735	-0.266	0.273	1.06
-0.231	-0.233	-0.0674	0.037	0.0766	0.262	0.0563	-0.0764	0.912
0.0542	-0.304	0.19	-0.0252	-0.074	-0.0186	0.0792	-0.28	0.848
-0.267	0.139	-0.275	-0.274	-0.21	0.0455	0.279	-0.116	0.885
-0.0767	0.23	-0.226	0.0427	0.0452	0.22	0.18	0.256	0.905
0.094	0.177	-0.0985	0.259	-0.213	-0.136	0.295	0.0389	0.769
0.298	-0.314	0.181	-0.137	0.223	-0.0773	-0.3	0.2	0.939
-0.118	0.034	0.0192	-0.27	0.303	0.123	0.151	0.205	1.01
-0.0492	-0.196	-0.0828	-0.0167	-0.284	0.236	-0.0189	-0.216	0.833
0.255	-0.0439	0.201	-0.215	0.106	-0.301	-0.213	0.0408	0.918
0.0621	-0.206	0.0741	-0.132	0.288	0.295	-0.238	-0.311	0.94
-0.147	0.0203	-0.22	-0.196	0.11	0.195	-0.122	0.238	1.02
0.183	0.191	-0.306	0.16	-0.247	-0.045	0.188	-0.184	0.797
0.276	0.128	-0.224	0.129	-0.0762	-0.231	0.17	0.00948	0.877
0.0784	0.155	0.109	-0.0651	-0.266	-0.268	-0.0145	0.302	0.875
